City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,jalu,LY,83.44,clear sky,29.0331,21.5482,صاحبة الفخامة
2,hithadhoo,MV,81.32,overcast clouds,-0.6,73.0833,Scoop Guest House
6,hilo,US,79.79,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
8,hobyo,SO,76.89,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
21,krumovgrad,BG,75.04,clear sky,41.4667,25.65,Hotel Divna
25,tiarei,PF,82.42,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
32,balikpapan,ID,79.79,scattered clouds,-1.2675,116.8289,ibis Balikpapan
35,atuona,PF,77.04,scattered clouds,-9.8,-139.0333,Villa Enata
38,haines junction,CA,82.35,few clouds,60.7522,-137.5108,Parkside Inn
42,robertsport,LR,77.58,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
49,thompson,CA,84.36,smoke,55.7435,-97.8558,Burntwood Hotel
59,butaritari,KI,83.25,broken clouds,3.0707,172.7902,Isles Sunset Lodge
60,lac du bonnet,CA,77.59,scattered clouds,50.2536,-96.0612,Casey's Inn Motor Hotel
70,tukrah,LY,79.66,clear sky,32.5341,20.5791,Lokta restaurant
84,faanui,PF,78.12,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
90,kampot,KH,78.85,overcast clouds,10.6167,104.1833,Two Moons Hotel
98,kavieng,PG,83.03,light rain,-2.5744,150.7967,Nusa Island Retreat
101,samana,DO,79.16,overcast clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
102,bandarbeyla,SO,82.09,few clouds,9.4942,50.8122,JABIR HOTEL
103,biak,ID,80.83,few clouds,-0.9131,122.8766,Penginapan Kim
106,pacific grove,US,81.57,scattered clouds,36.6177,-121.9166,Lovers Point Inn
107,lorengau,PG,84.56,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
108,puerto escondido,MX,82.67,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
112,jiaonan,CN,78.82,light rain,35.8786,119.9753,Vienna Hotel Qingdao Huangdao
114,vaini,TO,77.16,light rain,-21.2,-175.2,Keleti Beach Resort
123,aklavik,CA,77.72,overcast clouds,68.2191,-135.0107,Aklavik Inn
129,sinnamary,GF,78.03,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
130,mayo,US,76.15,clear sky,38.8876,-76.5119,Resorts Resource Group International
134,kentau,KZ,80.85,broken clouds,43.5206,68.5094,Safary
145,alyangula,AU,80.47,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
150,alofi,NU,80.49,scattered clouds,-19.0595,-169.9187,Taloa Heights
153,soc trang,VN,78.76,overcast clouds,9.6033,105.98,Phu Quy Hotel
154,revelganj,IN,76.91,heavy intensity rain,25.7833,84.6667,U P Singh
157,ixtapa,MX,82.69,clear sky,20.7,-105.2,Hotel Plaza Providencia
160,namatanai,PG,84.42,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
162,labuhan,ID,80.24,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
172,veraval,IN,81.28,overcast clouds,20.9,70.3667,Lords Inn Somnath
174,guerrero negro,MX,78.21,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
179,axim,GH,75.38,few clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
181,sao filipe,CV,75.63,few clouds,14.8961,-24.4956,Hotel Xaguate
182,half moon bay,US,83.75,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
183,auki,SB,81.39,scattered clouds,-8.7676,160.7034,Auki Motel
184,cockburn town,TC,82.15,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
186,araguacu,BR,77.59,clear sky,-12.9306,-49.8264,Hotel Tocantins
187,taraz,KZ,77.29,broken clouds,42.9,71.3667,Comfort Inn
188,high prairie,CA,83.5,overcast clouds,55.4334,-116.4858,Royal Star Motor Inn
189,fomboni,KM,76.3,clear sky,-12.28,43.7425,Auberge les abou
191,tautira,PF,82.42,clear sky,-17.7333,-149.15,Pension Oaoa
192,georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
196,zhezkazgan,KZ,79.32,clear sky,47.8043,67.7144,Hotel Zumrat
203,shimoda,JP,82.76,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
205,komsomolskiy,UZ,76.42,few clouds,40.4272,71.7189,Ikathouse
208,makakilo city,US,82.72,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
213,liangxiang,CN,82.31,clear sky,39.7319,116.14,Jinjiang Inn Beijing Liangxiang Nanguan Subway Station
215,cayenne,GF,82.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
218,gizo,SB,80.98,light rain,-8.103,156.8419,Imagination Island
221,semnan,IR,76.06,scattered clouds,35.5729,53.3971,Semnan Tourist Hotel
227,banda aceh,ID,80.71,overcast clouds,5.5577,95.3222,Sulthan Hotel International
231,bengkulu,ID,75.9,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
234,alexandria,EG,79.34,clear sky,31.2156,29.9553,Royal Crown Hotel
235,pochutla,MX,78.98,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
240,itarema,BR,75.92,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
246,kununurra,AU,82.38,clear sky,-15.7667,128.7333,Hotel Kununurra
257,lufilufi,WS,77.79,moderate rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
260,kralendijk,BQ,81.43,clear sky,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
263,seoul,KR,81.01,overcast clouds,37.5683,126.9778,롯데호텔 서울
264,semporna,MY,79.0,light rain,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
267,chabahar,IR,82.74,overcast clouds,25.2919,60.643,هتل گدروشیا
268,kapit,MY,75.65,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
270,slave lake,CA,76.98,clear sky,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
277,kokopo,PG,84.06,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
279,nimaparha,IN,79.2,broken clouds,20.0667,86.0167,Maa Karanjai Sweet And Hotel 🏨
286,isangel,VU,75.31,broken clouds,-19.55,169.2667,Tanna Lodge
287,bulalacao,PH,83.08,overcast clouds,12.3254,121.3435,By The Sea Hotels
289,wadi maliz,TN,78.46,clear sky,36.4681,8.5495,HOPITAL
291,yaring,TH,77.04,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
292,kapoeta,SS,76.53,overcast clouds,4.7717,33.5903,Eastgate Hotel
294,amahai,ID,81.81,few clouds,-3.3333,128.9167,HOTEL ISABELA
295,ambon,ID,82.54,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
297,cairns,AU,82.11,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
298,durgapur,IN,81.45,overcast clouds,23.4833,87.3167,OYO 23635 Sher E Bengal
307,vanderhoof,CA,84.74,overcast clouds,54.0166,-124.0198,Vanderhoof Inn
313,kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
315,dzilam gonzalez,MX,78.94,overcast clouds,21.2833,-88.9333,posadas
316,jacareacanga,BR,83.64,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
319,puerto plata,DO,84.45,few clouds,19.7934,-70.6884,Tropical Junior Suite All-Incl Resort Puerto Plata
321,buala,SB,79.77,light rain,-8.145,159.5921,Maringe Lagoon Lodge
323,kavaratti,IN,82.06,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
324,mersing,MY,76.91,scattered clouds,2.4312,103.8405,Timotel Hotel
326,oussouye,SN,78.89,light rain,12.485,-16.5469,Auberge du Routard
329,floriano,BR,79.47,overcast clouds,-6.7669,-43.0225,Hotel Maktub
333,malinao,PH,76.08,overcast clouds,7.5917,124.6889,BARBER'S FARM AND RESORT
334,chavakkad,IN,75.27,overcast clouds,10.5333,76.05,Rajah Island
339,monrovia,LR,76.64,overcast clouds,6.3005,-10.7969,Sunset Inn
340,touros,BR,76.1,clear sky,-5.1989,-35.4608,INN NEW HORIZON
343,aquiraz,BR,80.69,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
346,bassila,BJ,75.07,overcast clouds,9.0081,1.6654,COMPLEXE MAKOYA ET FILS
348,acapulco,MX,82.85,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
349,teknaf,BD,78.21,overcast clouds,20.8624,92.3058,Forestry Guesthouse
350,hede,CN,84.13,light rain,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
