City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bengkulu,ID,2021-08-01 20:25:53,-3.8004,102.2655,74.55,89,94,4.61
1,Kapaa,US,2021-08-01 20:23:11,22.0752,-159.319,82.38,82,90,1.01
2,Hermanus,ZA,2021-08-01 20:23:15,-34.4187,19.2345,57.9,78,96,5.84
3,Bredasdorp,ZA,2021-08-01 20:25:54,-34.5322,20.0403,58.32,67,90,6.91
4,Eregli,TR,2021-08-01 20:24:58,37.5133,34.0467,72.95,22,0,7.56
5,Nelidovo,RU,2021-08-01 20:25:55,56.2211,32.7774,61.92,66,100,3.24
6,Barrow,US,2021-08-01 20:25:55,71.2906,-156.7887,50.02,83,90,20.71
7,Ushuaia,AR,2021-08-01 20:23:07,-54.8,-68.3,46.06,49,20,17.27
8,Faanui,PF,2021-08-01 20:23:36,-16.4833,-151.75,77.22,70,54,15.01
9,Bambous Virieux,MU,2021-08-01 20:25:56,-20.3428,57.7575,70.21,88,75,10.36
10,Flinders,AU,2021-08-01 20:25:56,-34.5833,150.8552,46.2,84,3,4.43
11,Lebu,CL,2021-08-01 20:21:57,-37.6167,-73.65,53.15,71,6,17.83
12,Hami,CN,2021-08-01 20:25:57,42.8,93.45,68.9,46,80,6.02
13,Port Alfred,ZA,2021-08-01 20:25:57,-33.5906,26.891,61.52,79,27,26.62
14,Punta Arenas,CL,2021-08-01 20:25:58,-53.15,-70.9167,46.51,66,40,11.5
15,Bluff,NZ,2021-08-01 20:25:58,-46.6,168.3333,40.8,88,95,8.41
16,Clyde River,CA,2021-08-01 20:25:58,70.4692,-68.5914,43.03,87,90,16.11
17,Atuona,PF,2021-08-01 20:25:59,-9.8,-139.0333,76.91,71,42,12.64
18,Brownwood,US,2021-08-01 20:24:29,31.7093,-98.9912,97.29,44,69,9.64
19,Soyo,AO,2021-08-01 20:25:59,-6.1349,12.3689,72.91,83,18,9.93
20,Tasiilaq,GL,2021-08-01 20:25:59,65.6145,-37.6368,57.36,78,6,5.57
21,Port Macquarie,AU,2021-08-01 20:22:10,-31.4333,152.9167,55.89,77,83,8.9
22,Krasnoselkup,RU,2021-08-01 20:26:00,65.7,82.4667,54.43,72,100,6.49
23,Cidreira,BR,2021-08-01 20:26:00,-30.1811,-50.2056,59.04,82,81,6.91
24,Cherskiy,RU,2021-08-01 20:25:38,68.75,161.3,35.46,92,96,18.95
25,Binabalian,PH,2021-08-01 20:26:01,16.4202,119.9279,82.44,84,100,20.38
26,Turukhansk,RU,2021-08-01 20:26:01,65.8167,87.9833,53.78,85,30,7.34
27,Carnarvon,AU,2021-08-01 20:21:47,-24.8667,113.6333,50.07,62,0,10.36
28,Bambanglipuro,ID,2021-08-01 20:26:02,-7.95,110.2833,74.75,88,31,6.31
29,Samarai,PG,2021-08-01 20:26:02,-10.6167,150.6667,75.36,69,86,6.08
30,Albany,US,2021-08-01 20:23:07,42.6001,-73.9662,76.87,74,73,6.69
31,Nabire,ID,2021-08-01 20:26:03,-3.3667,135.4833,75.18,91,99,3.38
32,Rikitea,PF,2021-08-01 20:22:54,-23.1203,-134.9692,69.26,59,79,23.38
33,East London,ZA,2021-08-01 20:26:03,-33.0153,27.9116,63.39,57,10,19.01
34,Roma,US,2021-08-01 20:24:16,43.2128,-75.4557,66.06,93,90,4.61
35,Manaure,CO,2021-08-01 20:26:04,11.7751,-72.4445,92.68,46,7,20.09
36,Tuktoyaktuk,CA,2021-08-01 20:26:04,69.4541,-133.0374,71.6,64,75,13.8
37,Bubaque,GW,2021-08-01 20:26:04,11.2833,-15.8333,79.29,82,76,18.19
38,Butaritari,KI,2021-08-01 20:26:06,3.0707,172.7902,83.01,69,17,9.75
39,Yellowknife,CA,2021-08-01 20:22:30,62.456,-114.3525,88.32,28,1,5.75
40,At-Bashi,KG,2021-08-01 20:26:07,41.1702,75.8106,56.14,70,100,1.39
41,Vaini,TO,2021-08-01 20:26:07,-21.2,-175.2,71.76,83,20,21.85
42,Shiyan,CN,2021-08-01 20:26:07,32.6475,110.7781,78.12,89,2,3.36
43,San Miguel,SV,2021-08-01 20:26:08,13.4833,-88.1833,94.6,51,0,4.61
44,Mataura,NZ,2021-08-01 20:26:08,-46.1927,168.8643,40.48,98,60,3.91
45,Byron Bay,AU,2021-08-01 20:26:09,-28.65,153.6167,66.09,88,10,14.36
46,Borzya,RU,2021-08-01 20:26:09,50.3833,116.5167,53.92,75,12,4.81
47,Kaeo,NZ,2021-08-01 20:24:16,-35.1,173.7833,48.33,93,26,4.99
48,Severo-Kurilsk,RU,2021-08-01 20:26:10,50.6789,156.125,53.35,81,0,15.82
49,Zapolyarnyy,RU,2021-08-01 20:26:10,69.4154,30.8136,58.28,86,99,5.37
50,Castro,BR,2021-08-01 20:26:10,-24.7911,-50.0119,55.67,71,72,4.47
51,Busselton,AU,2021-08-01 20:22:11,-33.65,115.3333,44.1,77,86,7.34
52,Madimba,TZ,2021-08-01 20:26:11,-10.4,40.3333,73.85,79,30,12.93
53,Hounde,BF,2021-08-01 20:26:11,11.5,-3.5167,77.88,73,89,5.68
54,Aginskoye,RU,2021-08-01 20:26:12,51.1,114.53,56.5,85,68,2.06
55,Georgetown,MY,2021-08-01 20:21:31,5.4112,100.3354,76.93,92,20,4.61
56,Puerto Ayora,EC,2021-08-01 20:26:12,-0.7393,-90.3518,76.96,87,48,8.01
57,Provideniya,RU,2021-08-01 20:25:45,64.3833,-173.3,41.92,89,100,13.87
58,Rio Gallegos,AR,2021-08-01 20:21:33,-51.6226,-69.2181,50.05,57,0,14.97
59,Teeli,RU,2021-08-01 20:26:13,51.0333,90.2333,54.32,68,8,1.66
60,Leningradskiy,RU,2021-08-01 20:22:44,69.3833,178.4167,35.65,96,100,17.47
61,Manjacaze,MZ,2021-08-01 20:26:13,-24.7117,33.8828,60.89,60,3,6.46
62,Saint George,US,2021-08-01 20:22:34,37.1041,-113.5841,96.39,30,1,3.0
63,Geraldton,AU,2021-08-01 20:26:14,-28.7667,114.6,45.01,93,5,8.05
64,Rosario,AR,2021-08-01 20:21:27,-32.9468,-60.6393,66.11,27,0,0.0
65,Dongsheng,CN,2021-08-01 20:26:15,39.8161,109.9776,61.79,61,18,10.63
66,Praia Da Vitoria,PT,2021-08-01 20:26:15,38.7333,-27.0667,76.75,100,90,17.38
67,Hilo,US,2021-08-01 20:23:08,19.7297,-155.09,82.13,68,90,9.22
68,Ribeira Grande,PT,2021-08-01 20:26:15,38.5167,-28.7,75.6,88,40,12.66
69,Dingle,PH,2021-08-01 20:26:16,10.9995,122.6711,77.43,87,100,8.32
70,Urumqi,CN,2021-08-01 20:26:16,43.801,87.6005,65.35,49,0,8.95
71,Jamestown,US,2021-08-01 20:23:50,42.097,-79.2353,70.02,74,75,3.0
72,Berlevag,NO,2021-08-01 20:25:55,70.8578,29.0864,57.0,93,75,9.22
73,Mnogovershinnyy,RU,2021-08-01 20:26:17,53.9353,139.9242,49.3,91,98,1.07
74,Pushkino,RU,2021-08-01 20:26:17,56.0172,37.8667,70.21,93,66,4.88
75,Cabedelo,BR,2021-08-01 20:21:42,-6.9811,-34.8339,81.27,75,5,21.72
76,Arraial Do Cabo,BR,2021-08-01 20:25:15,-22.9661,-42.0278,75.16,68,20,13.8
77,Namatanai,PG,2021-08-01 20:25:08,-3.6667,152.4333,78.33,84,10,6.55
78,Daura,NG,2021-08-01 20:26:18,11.5538,11.4085,75.97,83,91,8.21
79,Kahului,US,2021-08-01 20:26:18,20.8947,-156.47,83.46,64,20,20.71
80,Guiberoua,CI,2021-08-01 20:26:19,6.2392,-6.1727,70.83,95,67,2.59
81,Port Elizabeth,ZA,2021-08-01 20:26:19,-33.918,25.5701,59.29,77,40,29.93
82,Constitucion,CL,2021-08-01 20:23:33,-35.3333,-72.4167,61.75,50,0,11.41
83,Hirara,JP,2021-08-01 20:26:19,24.8,125.2833,80.71,86,100,7.29
84,Mumford,GH,2021-08-01 20:26:20,5.2618,-0.759,75.67,90,26,7.83
85,Boa Vista,BR,2021-08-01 20:26:20,2.8197,-60.6733,76.98,88,75,4.61
86,Muromtsevo,RU,2021-08-01 20:26:20,56.3724,75.2418,61.07,89,99,6.42
87,Clovis,US,2021-08-01 20:26:21,36.8252,-119.7029,105.48,23,20,1.01
88,Pasir Gudang,MY,2021-08-01 20:26:21,1.4584,103.8805,78.91,92,0,1.14
